dataset_accession	priority	planned_role	metadata_status	notes
GSE282701	1	atlas_include_abundance_candidate	TASK002_CORRECTED_COMPLETE	Tumor/Adjacent human HCC scRNA-seq
GSE242889	1	atlas_include_abundance_candidate	TASK002_CORRECTED_COMPLETE	Tumor/Adjacent; MVI metadata available
GSE326201	1	atlas_include_abundance_candidate	TASK002_CORRECTED_COMPLETE	Tumor/non-tumor; etiology available
GSE149614	1	atlas_include_abundance_candidate	TASK002_CORRECTED_COMPLETE	Primary Tumor/Adjacent only; PVTT/LN excluded
GSE299340	1	atlas_include_abundance_candidate	TASK002_CORRECTED_COMPLETE	Paired tumor/non-cancerous design
CRA002308	1	atlas_include_pending_audit	TASK003_PENDING	Uploaded locally; expected 7 Tumor + 7 matched adjacent/normal liver samples; audit selection strategy and file type
nature_xue	1	atlas_include_author_processed	TASK003_PENDING	Author Seurat object; subset human HCC Tumor + AL only; preserve author annotations
in_house	1	atlas_include_pending_audit	TASK003_PENDING	In-house cohort; YJCA=Tumor, YJP=Adjacent; verify pairing and input matrices
GSE290298	9	hold_excluded	TASK001_VERIFIED	Normalized-only matrix; excluded for now
GSE202642	9	hold_excluded	TASK001_VERIFIED	FACS/composition bias and unresolved pairing; excluded for now
