dataset	phase1_role	filename	remote_url	remote_size_bytes	file_type	data_representation	target_server_path	download_status	checksum_path	log_path	verify_plan	notes
GSE282701	phase1_preferred	GSE282701_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE282nnn/GSE282701/suppl/GSE282701_RAW.tar	856524800	filtered_counts	12 per-sample 10x-style Matrix Market matrices inside GSE282701_RAW.tar	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/GSE282701/GSE282701_RAW.tar	DOWNLOAD_BLOCKED	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/checksums/task001_download_checksums.sha256	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/logs/task001_GSE282701.log	curl --continue-at -; sha256sum; gzip -t or tar -tf where applicable; inspect matrix dimensions	No server-side file downloaded in this run because configured SSH hosts were unavailable.
GSE242889	phase1_preferred_pending_format_check	GSE242889_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE242nnn/GSE242889/suppl/GSE242889_RAW.tar	1376245760	raw_counts	10 per-sample tar.gz archives; representative archive contains Matrix Market matrix.mtx	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/GSE242889/GSE242889_RAW.tar	DOWNLOAD_BLOCKED	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/checksums/task001_download_checksums.sha256	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/logs/task001_GSE242889.log	curl --continue-at -; sha256sum; gzip -t or tar -tf where applicable; inspect matrix dimensions	No server-side file downloaded in this run because configured SSH hosts were unavailable.
GSE326201	phase1_preferred	GSE326201_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE326nnn/GSE326201/suppl/GSE326201_RAW.tar	244039680	filtered_counts	18 per-sample Cell Ranger filtered feature-barcode HDF5 files inside GSE326201_RAW.tar	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/GSE326201/GSE326201_RAW.tar	DOWNLOAD_BLOCKED	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/checksums/task001_download_checksums.sha256	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/logs/task001_GSE326201.log	curl --continue-at -; sha256sum; gzip -t or tar -tf where applicable; inspect matrix dimensions	No server-side file downloaded in this run because configured SSH hosts were unavailable.
GSE149614	phase1_preferred_after_nonTA_exclusion	GSE149614_HCC.scRNAseq.S71915.count.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149614/suppl/GSE149614_HCC.scRNAseq.S71915.count.txt.gz	165349783	raw_counts	Combined tab-delimited raw count matrix (165349783 bytes compressed) plus sample/cell metadata; normalized matrix is optional	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/GSE149614/GSE149614_HCC.scRNAseq.S71915.count.txt.gz	DOWNLOAD_BLOCKED	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/checksums/task001_download_checksums.sha256	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/logs/task001_GSE149614.log	curl --continue-at -; sha256sum; gzip -t or tar -tf where applicable; inspect matrix dimensions	No server-side file downloaded in this run because configured SSH hosts were unavailable.
GSE149614	phase1_preferred_after_nonTA_exclusion	GSE149614_HCC.metadata.updated.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149614/suppl/GSE149614_HCC.metadata.updated.txt.gz	489882	metadata	Combined tab-delimited raw count matrix (165349783 bytes compressed) plus sample/cell metadata; normalized matrix is optional	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/GSE149614/GSE149614_HCC.metadata.updated.txt.gz	DOWNLOAD_BLOCKED	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/checksums/task001_download_checksums.sha256	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/logs/task001_GSE149614.log	curl --continue-at -; sha256sum; gzip -t or tar -tf where applicable; inspect matrix dimensions	No server-side file downloaded in this run because configured SSH hosts were unavailable.
GSE299340	phase1_preferred_with_sourceQC_caveat	GSE299340_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299340/suppl/GSE299340_RAW.tar	843857920	raw_counts	10 per-sample integer Cell Ranger Matrix Market matrices with features/barcodes inside GSE299340_RAW.tar	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/GSE299340/GSE299340_RAW.tar	DOWNLOAD_BLOCKED	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/checksums/task001_download_checksums.sha256	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/logs/task001_GSE299340.log	curl --continue-at -; sha256sum; gzip -t or tar -tf where applicable; inspect matrix dimensions	No server-side file downloaded in this run because configured SSH hosts were unavailable.
GSE290298	optional_normalized_only	GSE290298_All_processed_data.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE290nnn/GSE290298/suppl/GSE290298_All_processed_data.csv.gz	923544964	normalized	One processed CSV (923544964 bytes compressed) with normalized floating-point expression; eight gene-expression libraries plus two scTCR-only records	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/GSE290298/GSE290298_All_processed_data.csv.gz	DOWNLOAD_BLOCKED	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/checksums/task001_download_checksums.sha256	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/logs/task001_GSE290298.log	curl --continue-at -; sha256sum; gzip -t or tar -tf where applicable; inspect matrix dimensions	No server-side file downloaded in this run because configured SSH hosts were unavailable.
GSE202642	cell_state_only_FACS_biased	GSE202642_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202642/suppl/GSE202642_matrix.mtx.gz	698853827	raw_counts	Combined Matrix Market integer matrix, 36601 x 115732 with 180199647 nonzeros, plus features/barcodes	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/GSE202642/GSE202642_matrix.mtx.gz	DOWNLOAD_BLOCKED	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/checksums/task001_download_checksums.sha256	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/logs/task001_GSE202642.log	curl --continue-at -; sha256sum; gzip -t or tar -tf where applicable; inspect matrix dimensions	No server-side file downloaded in this run because configured SSH hosts were unavailable.
GSE202642	cell_state_only_FACS_biased	GSE202642_features.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202642/suppl/GSE202642_features.tsv.gz	333437	metadata	Combined Matrix Market integer matrix, 36601 x 115732 with 180199647 nonzeros, plus features/barcodes	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/GSE202642/GSE202642_features.tsv.gz	DOWNLOAD_BLOCKED	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/checksums/task001_download_checksums.sha256	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/logs/task001_GSE202642.log	curl --continue-at -; sha256sum; gzip -t or tar -tf where applicable; inspect matrix dimensions	No server-side file downloaded in this run because configured SSH hosts were unavailable.
GSE202642	cell_state_only_FACS_biased	GSE202642_barcodes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202642/suppl/GSE202642_barcodes.tsv.gz	583228	metadata	Combined Matrix Market integer matrix, 36601 x 115732 with 180199647 nonzeros, plus features/barcodes	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/GSE202642/GSE202642_barcodes.tsv.gz	DOWNLOAD_BLOCKED	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/checksums/task001_download_checksums.sha256	/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/logs/task001_GSE202642.log	curl --continue-at -; sha256sum; gzip -t or tar -tf where applicable; inspect matrix dimensions	No server-side file downloaded in this run because configured SSH hosts were unavailable.
