dataset,relative_path,absolute_path,filename,sample_id_from_path,size_bytes,extension,file_type,primary_file_used,sha256,gzip_integrity
CRA002308,CRA002308/41421_2020_214_MOESM1_ESM (3).docx,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/41421_2020_214_MOESM1_ESM (3).docx,41421_2020_214_MOESM1_ESM (3).docx,CRA002308,7802145,.docx,Word supplementary methods/document,True,1294b0a385af2399c2c1805fb49e54868d2be18cafc79b124a992c6a2ae833ff,not_applicable
CRA002308,CRA002308/N01/barcodes.tsv.gz,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N01/barcodes.tsv.gz,barcodes.tsv.gz,N01,42765,.gz,10x cell barcode list,True,0275cbb74c244bc5068f8e09e3c0c1409174ab64e31d25b3aeb4a6b12b10c5bf,PASS
CRA002308,CRA002308/N01/features.tsv.gz,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N01/features.tsv.gz,features.tsv.gz,N01,333437,.gz,10x feature annotation,True,3a7cdbb6756f9be994cdd560ad91ffc42fe73de2cd05c841cbe19bfe5475b77e,PASS
CRA002308,CRA002308/N01/matrix.mtx.gz,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N01/matrix.mtx.gz,matrix.mtx.gz,N01,64791522,.gz,10x Matrix Market count matrix,True,70bcd794710ec8969940e6bd1033da744f376239fb02d4aa9c4f31fa792ac19a,PASS
CRA002308,CRA002308/N02/barcodes.tsv.gz,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N02/barcodes.tsv.gz,barcodes.tsv.gz,N02,63880,.gz,10x cell barcode list,True,6f1d87b806f8f4cfd5d5eb2cfb8ac47f2434d108ee16769899ff4efc48c3c4c2,PASS
CRA002308,CRA002308/N02/features.tsv.gz,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N02/features.tsv.gz,features.tsv.gz,N02,333437,.gz,10x feature annotation,True,1e1633536fbf270ad4549b4142e43da34b21156ebcf469b98bd9ece8be75f2d4,PASS
CRA002308,CRA002308/N02/matrix.mtx.gz,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N02/matrix.mtx.gz,matrix.mtx.gz,N02,128711600,.gz,10x Matrix Market count matrix,True,b2425fc67599dda06a152c78b0e2b7eea0d8171143119dd71a96351cb8134309,PASS
CRA002308,CRA002308/N03/barcodes.tsv.gz,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N03/barcodes.tsv.gz,barcodes.tsv.gz,N03,68787,.gz,10x cell barcode list,True,3a18910ec78d81a93e8b39614188a7660b5976adb4cf2a0127a0bfa3e1bacefc,PASS
CRA002308,CRA002308/N03/features.tsv.gz,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N03/features.tsv.gz,features.tsv.gz,N03,333437,.gz,10x feature annotation,True,3a188c356ccdbf66a38191c330ad1678fbeaa8f5f9b5ba303a231495d9f1bb6d,PASS
CRA002308,CRA002308/N03/matrix.mtx.gz,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N03/matrix.mtx.gz,matrix.mtx.gz,N03,149197321,.gz,10x Matrix Market count matrix,True,2c142641dcbff5a507181d75a305f2e04818e5611d778860b1321dcf705d2727,PASS
