dataset,source_author_annotation,project_broad_celltype,n_cells,fraction_within_source_author_annotation
GSE149614,(missing),T/NK,786,0.233372921615202
GSE149614,(missing),monocyte/macrophage,916,0.271971496437055
GSE149614,(missing),hepatocyte/tumor epithelial,222,0.0659144893111639
GSE149614,(missing),B,923,0.274049881235154
GSE149614,(missing),endothelial,391,0.116092636579572
GSE149614,(missing),other/uncertain,12,0.00356294536817102
GSE149614,(missing),fibroblast/mesenchymal,92,0.0273159144893112
GSE149614,(missing),dendritic,10,0.00296912114014252
GSE149614,(missing),neutrophil,11,0.00326603325415677
GSE149614,(missing),mast,1,0.000296912114014252
GSE149614,(missing),plasma,4,0.00118764845605701
GSE149614,(missing),plasma,1219,0.297244574494026
GSE149614,(missing),hepatocyte/tumor epithelial,2319,0.565471836137527
GSE149614,(missing),monocyte/macrophage,227,0.0553523530846135
GSE149614,(missing),B,277,0.0675445013411363
GSE149614,(missing),T/NK,32,0.00780297488417459
GSE149614,(missing),other/uncertain,17,0.00414533040721775
GSE149614,(missing),neutrophil,4,0.000975371860521824
GSE149614,(missing),fibroblast/mesenchymal,4,0.000975371860521824
GSE149614,(missing),endothelial,2,0.000487685930260912
GSE149614,(missing),monocyte/macrophage,545,0.209534794309881
GSE149614,(missing),hepatocyte/tumor epithelial,1599,0.614763552479815
GSE149614,(missing),B,300,0.115340253748558
GSE149614,(missing),plasma,103,0.039600153787005
GSE149614,(missing),T/NK,34,0.0130718954248366
GSE149614,(missing),neutrophil,9,0.00346020761245675
GSE149614,(missing),other/uncertain,7,0.00269127258746636
GSE149614,(missing),endothelial,1,0.000384467512495194
GSE149614,(missing),fibroblast/mesenchymal,1,0.000384467512495194
GSE149614,(missing),dendritic,2,0.000768935024990388
GSE149614,(missing),hepatocyte/tumor epithelial,3836,0.795025906735751
GSE149614,(missing),B,375,0.077720207253886
GSE149614,(missing),monocyte/macrophage,566,0.117305699481865
GSE149614,(missing),plasma,46,0.00953367875647668
GSE149614,(missing),other/uncertain,1,0.000207253886010363
GSE149614,(missing),fibroblast/mesenchymal,1,0.000207253886010363
GSE149614,(missing),hepatocyte/tumor epithelial,1447,0.426089517078916
GSE149614,(missing),monocyte/macrophage,496,0.14605418138987
GSE149614,(missing),T/NK,628,0.1849234393404
GSE149614,(missing),B,683,0.201118963486455
GSE149614,(missing),neutrophil,25,0.00736160188457008
GSE149614,(missing),fibroblast/mesenchymal,17,0.00500588928150766
GSE149614,(missing),plasma,35,0.0103062426383981
GSE149614,(missing),endothelial,37,0.0108951707891637
GSE149614,(missing),other/uncertain,23,0.00677267373380448
GSE149614,(missing),mast,1,0.000294464075382803
GSE149614,(missing),dendritic,4,0.00117785630153121
GSE149614,(missing),hepatocyte/tumor epithelial,2869,0.819480148528992
GSE149614,(missing),monocyte/macrophage,561,0.160239931448158
GSE149614,(missing),B,62,0.017709225935447
GSE149614,(missing),plasma,1,0.000285632676378178
GSE149614,(missing),fibroblast/mesenchymal,8,0.00228506141102542
GSE149614,(missing),T/NK,2874,0.617268041237113
GSE149614,(missing),B,559,0.120060137457045
GSE149614,(missing),monocyte/macrophage,815,0.17504295532646
GSE149614,(missing),other/uncertain,55,0.0118127147766323
GSE149614,(missing),neutrophil,138,0.029639175257732
GSE149614,(missing),endothelial,62,0.0133161512027491
GSE149614,(missing),plasma,99,0.0212628865979381
GSE149614,(missing),hepatocyte/tumor epithelial,44,0.00945017182130584
GSE149614,(missing),dendritic,3,0.000644329896907217
GSE149614,(missing),fibroblast/mesenchymal,6,0.00128865979381443
GSE149614,(missing),mast,1,0.000214776632302406
GSE149614,(missing),monocyte/macrophage,507,0.151207873546078
GSE149614,(missing),hepatocyte/tumor epithelial,2191,0.653444676409186
GSE149614,(missing),B,513,0.152997315836564
GSE149614,(missing),endothelial,60,0.0178944229048613
GSE149614,(missing),T/NK,31,0.00924545183417835
GSE149614,(missing),plasma,36,0.0107366537429168
GSE149614,(missing),fibroblast/mesenchymal,4,0.00119296152699075
GSE149614,(missing),neutrophil,3,0.000894721145243066
GSE149614,(missing),other/uncertain,8,0.00238592305398151
GSE149614,(missing),T/NK,2192,0.490929451287794
GSE149614,(missing),monocyte/macrophage,1050,0.235162374020157
GSE149614,(missing),hepatocyte/tumor epithelial,285,0.0638297872340426
GSE149614,(missing),fibroblast/mesenchymal,59,0.0132138857782755
GSE149614,(missing),B,444,0.0994400895856663
GSE149614,(missing),plasma,132,0.0295632698768197
GSE149614,(missing),endothelial,65,0.0145576707726764
GSE149614,(missing),other/uncertain,57,0.0127659574468085
GSE149614,(missing),neutrophil,168,0.0376259798432251
GSE149614,(missing),mast,7,0.00156774916013438
GSE149614,(missing),dendritic,6,0.0013437849944009
GSE149614,(missing),T/NK,1073,0.249071494893222
GSE149614,(missing),plasma,249,0.0577994428969359
GSE149614,(missing),fibroblast/mesenchymal,265,0.0615134633240483
GSE149614,(missing),B,998,0.231662024141133
GSE149614,(missing),hepatocyte/tumor epithelial,1003,0.232822655524605
GSE149614,(missing),endothelial,276,0.064066852367688
GSE149614,(missing),monocyte/macrophage,354,0.0821727019498607
GSE149614,(missing),other/uncertain,32,0.0074280408542247
GSE149614,(missing),neutrophil,31,0.00719591457753018
GSE149614,(missing),mast,25,0.00580315691736305
GSE149614,(missing),dendritic,2,0.000464252553389044
GSE149614,(missing),T/NK,1864,0.498395721925134
GSE149614,(missing),neutrophil,436,0.116577540106952
GSE149614,(missing),monocyte/macrophage,741,0.198128342245989
GSE149614,(missing),endothelial,62,0.0165775401069519
GSE149614,(missing),B,378,0.101069518716578
GSE149614,(missing),other/uncertain,94,0.0251336898395722
GSE149614,(missing),hepatocyte/tumor epithelial,39,0.010427807486631
GSE149614,(missing),plasma,109,0.029144385026738
GSE149614,(missing),dendritic,4,0.00106951871657754
GSE149614,(missing),fibroblast/mesenchymal,12,0.00320855614973262
GSE149614,(missing),mast,1,0.000267379679144385
GSE149614,(missing),monocyte/macrophage,210,0.411764705882353
GSE149614,(missing),B,17,0.0333333333333333
GSE149614,(missing),hepatocyte/tumor epithelial,69,0.135294117647059
GSE149614,(missing),plasma,189,0.370588235294118
GSE149614,(missing),neutrophil,2,0.00392156862745098
GSE149614,(missing),T/NK,9,0.0176470588235294
GSE149614,(missing),fibroblast/mesenchymal,9,0.0176470588235294
GSE149614,(missing),other/uncertain,3,0.00588235294117647
GSE149614,(missing),mast,2,0.00392156862745098
GSE149614,(missing),T/NK,3384,0.705735140771637
GSE149614,(missing),neutrophil,457,0.0953076120959333
GSE149614,(missing),B,309,0.0644421272158498
GSE149614,(missing),endothelial,69,0.0143899895724713
GSE149614,(missing),monocyte/macrophage,369,0.0769551616266945
GSE149614,(missing),fibroblast/mesenchymal,29,0.00604796663190824
GSE149614,(missing),dendritic,21,0.00437956204379562
GSE149614,(missing),other/uncertain,98,0.0204379562043796
GSE149614,(missing),mast,5,0.00104275286757039
GSE149614,(missing),hepatocyte/tumor epithelial,21,0.00437956204379562
GSE149614,(missing),plasma,33,0.00688216892596455
GSE149614,(missing),monocyte/macrophage,1731,0.358162631905649
GSE149614,(missing),T/NK,754,0.156010759362715
GSE149614,(missing),hepatocyte/tumor epithelial,1757,0.363542313262984
GSE149614,(missing),fibroblast/mesenchymal,326,0.0674529277881233
GSE149614,(missing),B,171,0.0353817504655493
GSE149614,(missing),neutrophil,22,0.00455203807159114
GSE149614,(missing),other/uncertain,24,0.00496585971446307
GSE149614,(missing),plasma,20,0.00413821642871922
GSE149614,(missing),endothelial,19,0.00393130560728326
GSE149614,(missing),dendritic,8,0.00165528657148769
GSE149614,(missing),mast,1,0.000206910821435961
GSE149614,(missing),monocyte/macrophage,248,0.126401630988787
GSE149614,(missing),endothelial,72,0.036697247706422
GSE149614,(missing),T/NK,760,0.387359836901121
GSE149614,(missing),B,471,0.240061162079511
GSE149614,(missing),plasma,192,0.0978593272171254
GSE149614,(missing),other/uncertain,32,0.0163098878695209
GSE149614,(missing),neutrophil,43,0.0219164118246687
GSE149614,(missing),fibroblast/mesenchymal,19,0.00968399592252803
GSE149614,(missing),hepatocyte/tumor epithelial,121,0.0616717635066259
GSE149614,(missing),dendritic,3,0.00152905198776758
GSE149614,(missing),mast,1,0.000509683995922528
GSE149614,(missing),hepatocyte/tumor epithelial,1550,0.550426136363636
GSE149614,(missing),monocyte/macrophage,342,0.121448863636364
GSE149614,(missing),B,273,0.0969460227272727
GSE149614,(missing),fibroblast/mesenchymal,113,0.0401278409090909
GSE149614,(missing),mast,34,0.0120738636363636
GSE149614,(missing),T/NK,341,0.12109375
GSE149614,(missing),other/uncertain,49,0.0174005681818182
GSE149614,(missing),neutrophil,82,0.0291193181818182
GSE149614,(missing),endothelial,25,0.00887784090909091
GSE149614,(missing),plasma,7,0.00248579545454545
GSE149614,(missing),T/NK,2153,0.700846354166667
GSE149614,(missing),monocyte/macrophage,353,0.114908854166667
GSE149614,(missing),hepatocyte/tumor epithelial,67,0.0218098958333333
GSE149614,(missing),B,304,0.0989583333333333
GSE149614,(missing),neutrophil,52,0.0169270833333333
GSE149614,(missing),plasma,36,0.01171875
GSE149614,(missing),endothelial,20,0.00651041666666667
GSE149614,(missing),other/uncertain,65,0.0211588541666667
GSE149614,(missing),fibroblast/mesenchymal,16,0.00520833333333333
GSE149614,(missing),dendritic,4,0.00130208333333333
GSE149614,(missing),mast,2,0.000651041666666667
GSE149614,(missing),monocyte/macrophage,836,0.298678099321186
GSE149614,(missing),T/NK,539,0.192568774562344
GSE149614,(missing),hepatocyte/tumor epithelial,1176,0.420150053590568
GSE149614,(missing),fibroblast/mesenchymal,30,0.0107181136120043
GSE149614,(missing),B,162,0.0578778135048232
GSE149614,(missing),plasma,10,0.00357270453733476
GSE149614,(missing),other/uncertain,26,0.00928903179707038
GSE149614,(missing),neutrophil,13,0.00464451589853519
GSE149614,(missing),endothelial,3,0.00107181136120043
GSE149614,(missing),mast,2,0.000714540907466953
GSE149614,(missing),dendritic,2,0.000714540907466953
GSE242889,(missing),neutrophil,696,0.121763470958712
GSE242889,(missing),T/NK,1877,0.328376487053884
GSE242889,(missing),other/uncertain,131,0.0229181245626312
GSE242889,(missing),endothelial,240,0.0419874037788663
GSE242889,(missing),monocyte/macrophage,332,0.0580825752274318
GSE242889,(missing),B,1391,0.24335199440168
GSE242889,(missing),plasma,433,0.0757522743177047
GSE242889,(missing),hepatocyte/tumor epithelial,504,0.0881735479356193
GSE242889,(missing),mast,71,0.0124212736179146
GSE242889,(missing),fibroblast/mesenchymal,17,0.0029741077676697
GSE242889,(missing),dendritic,24,0.00419874037788663
GSE242889,(missing),monocyte/macrophage,687,0.121142655616293
GSE242889,(missing),T/NK,1937,0.341562334685241
GSE242889,(missing),B,1654,0.291659319344031
GSE242889,(missing),hepatocyte/tumor epithelial,307,0.0541350731793335
GSE242889,(missing),plasma,263,0.0463763004761065
GSE242889,(missing),mast,70,0.012343502027861
GSE242889,(missing),other/uncertain,89,0.015693881149709
GSE242889,(missing),fibroblast/mesenchymal,21,0.00370305060835831
GSE242889,(missing),endothelial,214,0.0377358490566038
GSE242889,(missing),neutrophil,379,0.0668312466937048
GSE242889,(missing),dendritic,50,0.00881678716275789
GSE242889,(missing),T/NK,825,0.34020618556701
GSE242889,(missing),hepatocyte/tumor epithelial,105,0.0432989690721649
GSE242889,(missing),B,715,0.294845360824742
GSE242889,(missing),neutrophil,214,0.0882474226804124
GSE242889,(missing),plasma,192,0.0791752577319588
GSE242889,(missing),other/uncertain,75,0.0309278350515464
GSE242889,(missing),monocyte/macrophage,161,0.0663917525773196
GSE242889,(missing),endothelial,104,0.0428865979381443
GSE242889,(missing),dendritic,17,0.00701030927835052
GSE242889,(missing),mast,15,0.00618556701030928
GSE242889,(missing),fibroblast/mesenchymal,2,0.000824742268041237
GSE242889,(missing),B,2778,0.340608141245709
