dataset,tissue,abundance_eligible,project_broad_celltype,n_cells,n_rescued,n_samples,n_patients,dataset_tissue_total,fraction_within_dataset_tissue
GSE149614,Tumor,YES,T/NK,786,549,1,1,3368,0.233372921615202
GSE149614,Tumor,YES,monocyte/macrophage,916,124,1,1,3368,0.271971496437055
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,222,72,1,1,3368,0.0659144893111639
GSE149614,Tumor,YES,B,923,92,1,1,3368,0.274049881235154
GSE149614,Tumor,YES,endothelial,391,19,1,1,3368,0.116092636579572
GSE149614,Tumor,YES,other/uncertain,12,10,1,1,3368,0.00356294536817102
GSE149614,Tumor,YES,fibroblast/mesenchymal,92,2,1,1,3368,0.0273159144893112
GSE149614,Tumor,YES,dendritic,10,1,1,1,3368,0.00296912114014252
GSE149614,Tumor,YES,neutrophil,11,9,1,1,3368,0.00326603325415677
GSE149614,Tumor,YES,mast,1,0,1,1,3368,0.000296912114014252
GSE149614,Tumor,YES,plasma,4,0,1,1,3368,0.00118764845605701
GSE149614,Tumor,YES,plasma,1219,749,1,1,4101,0.297244574494026
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,2319,126,1,1,4101,0.565471836137527
GSE149614,Tumor,YES,monocyte/macrophage,227,32,1,1,4101,0.0553523530846135
GSE149614,Tumor,YES,B,277,32,1,1,4101,0.0675445013411363
GSE149614,Tumor,YES,T/NK,32,6,1,1,4101,0.00780297488417459
GSE149614,Tumor,YES,other/uncertain,17,9,1,1,4101,0.00414533040721775
GSE149614,Tumor,YES,neutrophil,4,1,1,1,4101,0.000975371860521824
GSE149614,Tumor,YES,fibroblast/mesenchymal,4,0,1,1,4101,0.000975371860521824
GSE149614,Tumor,YES,endothelial,2,0,1,1,4101,0.000487685930260912
GSE149614,Adjacent,YES,monocyte/macrophage,545,27,1,1,2601,0.209534794309881
GSE149614,Adjacent,YES,hepatocyte/tumor epithelial,1599,204,1,1,2601,0.614763552479815
GSE149614,Adjacent,YES,B,300,15,1,1,2601,0.115340253748558
GSE149614,Adjacent,YES,plasma,103,9,1,1,2601,0.039600153787005
GSE149614,Adjacent,YES,T/NK,34,9,1,1,2601,0.0130718954248366
GSE149614,Adjacent,YES,neutrophil,9,4,1,1,2601,0.00346020761245675
GSE149614,Adjacent,YES,other/uncertain,7,2,1,1,2601,0.00269127258746636
GSE149614,Adjacent,YES,endothelial,1,1,1,1,2601,0.000384467512495194
GSE149614,Adjacent,YES,fibroblast/mesenchymal,1,0,1,1,2601,0.000384467512495194
GSE149614,Adjacent,YES,dendritic,2,0,1,1,2601,0.000768935024990388
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,3836,314,1,1,4825,0.795025906735751
GSE149614,Tumor,YES,B,375,38,1,1,4825,0.077720207253886
GSE149614,Tumor,YES,monocyte/macrophage,566,51,1,1,4825,0.117305699481865
GSE149614,Tumor,YES,plasma,46,15,1,1,4825,0.00953367875647668
GSE149614,Tumor,YES,other/uncertain,1,0,1,1,4825,0.000207253886010363
GSE149614,Tumor,YES,fibroblast/mesenchymal,1,0,1,1,4825,0.000207253886010363
GSE149614,Adjacent,YES,hepatocyte/tumor epithelial,1447,639,1,1,3396,0.426089517078916
GSE149614,Adjacent,YES,monocyte/macrophage,496,99,1,1,3396,0.14605418138987
GSE149614,Adjacent,YES,T/NK,628,470,1,1,3396,0.1849234393404
GSE149614,Adjacent,YES,B,683,144,1,1,3396,0.201118963486455
GSE149614,Adjacent,YES,neutrophil,25,17,1,1,3396,0.00736160188457008
GSE149614,Adjacent,YES,fibroblast/mesenchymal,17,1,1,1,3396,0.00500588928150766
GSE149614,Adjacent,YES,plasma,35,10,1,1,3396,0.0103062426383981
GSE149614,Adjacent,YES,endothelial,37,4,1,1,3396,0.0108951707891637
GSE149614,Adjacent,YES,other/uncertain,23,17,1,1,3396,0.00677267373380448
GSE149614,Adjacent,YES,mast,1,0,1,1,3396,0.000294464075382803
GSE149614,Adjacent,YES,dendritic,4,1,1,1,3396,0.00117785630153121
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,2869,412,1,1,3501,0.819480148528992
GSE149614,Tumor,YES,monocyte/macrophage,561,101,1,1,3501,0.160239931448158
GSE149614,Tumor,YES,B,62,7,1,1,3501,0.017709225935447
GSE149614,Tumor,YES,plasma,1,0,1,1,3501,0.000285632676378178
GSE149614,Tumor,YES,fibroblast/mesenchymal,8,0,1,1,3501,0.00228506141102542
GSE149614,Adjacent,YES,T/NK,2874,1197,1,1,4656,0.617268041237113
GSE149614,Adjacent,YES,B,559,76,1,1,4656,0.120060137457045
GSE149614,Adjacent,YES,monocyte/macrophage,815,88,1,1,4656,0.17504295532646
GSE149614,Adjacent,YES,other/uncertain,55,19,1,1,4656,0.0118127147766323
GSE149614,Adjacent,YES,neutrophil,138,53,1,1,4656,0.029639175257732
GSE149614,Adjacent,YES,endothelial,62,3,1,1,4656,0.0133161512027491
GSE149614,Adjacent,YES,plasma,99,14,1,1,4656,0.0212628865979381
GSE149614,Adjacent,YES,hepatocyte/tumor epithelial,44,6,1,1,4656,0.00945017182130584
GSE149614,Adjacent,YES,dendritic,3,0,1,1,4656,0.000644329896907217
GSE149614,Adjacent,YES,fibroblast/mesenchymal,6,0,1,1,4656,0.00128865979381443
GSE149614,Adjacent,YES,mast,1,1,1,1,4656,0.000214776632302406
GSE149614,Tumor,YES,monocyte/macrophage,507,61,1,1,3353,0.151207873546078
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,2191,409,1,1,3353,0.653444676409186
GSE149614,Tumor,YES,B,513,58,1,1,3353,0.152997315836564
GSE149614,Tumor,YES,endothelial,60,1,1,1,3353,0.0178944229048613
GSE149614,Tumor,YES,T/NK,31,13,1,1,3353,0.00924545183417835
GSE149614,Tumor,YES,plasma,36,6,1,1,3353,0.0107366537429168
GSE149614,Tumor,YES,fibroblast/mesenchymal,4,0,1,1,3353,0.00119296152699075
GSE149614,Tumor,YES,neutrophil,3,1,1,1,3353,0.000894721145243066
GSE149614,Tumor,YES,other/uncertain,8,2,1,1,3353,0.00238592305398151
GSE149614,Adjacent,YES,T/NK,2192,691,1,1,4465,0.490929451287794
GSE149614,Adjacent,YES,monocyte/macrophage,1050,143,1,1,4465,0.235162374020157
GSE149614,Adjacent,YES,hepatocyte/tumor epithelial,285,74,1,1,4465,0.0638297872340426
GSE149614,Adjacent,YES,fibroblast/mesenchymal,59,9,1,1,4465,0.0132138857782755
GSE149614,Adjacent,YES,B,444,80,1,1,4465,0.0994400895856663
GSE149614,Adjacent,YES,plasma,132,32,1,1,4465,0.0295632698768197
GSE149614,Adjacent,YES,endothelial,65,8,1,1,4465,0.0145576707726764
GSE149614,Adjacent,YES,other/uncertain,57,14,1,1,4465,0.0127659574468085
GSE149614,Adjacent,YES,neutrophil,168,49,1,1,4465,0.0376259798432251
GSE149614,Adjacent,YES,mast,7,6,1,1,4465,0.00156774916013438
GSE149614,Adjacent,YES,dendritic,6,2,1,1,4465,0.0013437849944009
GSE149614,Tumor,YES,T/NK,1073,526,1,1,4308,0.249071494893222
GSE149614,Tumor,YES,plasma,249,80,1,1,4308,0.0577994428969359
GSE149614,Tumor,YES,fibroblast/mesenchymal,265,23,1,1,4308,0.0615134633240483
GSE149614,Tumor,YES,B,998,220,1,1,4308,0.231662024141133
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,1003,323,1,1,4308,0.232822655524605
GSE149614,Tumor,YES,endothelial,276,30,1,1,4308,0.064066852367688
GSE149614,Tumor,YES,monocyte/macrophage,354,65,1,1,4308,0.0821727019498607
GSE149614,Tumor,YES,other/uncertain,32,8,1,1,4308,0.0074280408542247
GSE149614,Tumor,YES,neutrophil,31,20,1,1,4308,0.00719591457753018
GSE149614,Tumor,YES,mast,25,16,1,1,4308,0.00580315691736305
GSE149614,Tumor,YES,dendritic,2,2,1,1,4308,0.000464252553389044
GSE149614,Adjacent,YES,T/NK,1864,508,1,1,3740,0.498395721925134
GSE149614,Adjacent,YES,neutrophil,436,104,1,1,3740,0.116577540106952
GSE149614,Adjacent,YES,monocyte/macrophage,741,59,1,1,3740,0.198128342245989
GSE149614,Adjacent,YES,endothelial,62,5,1,1,3740,0.0165775401069519
GSE149614,Adjacent,YES,B,378,49,1,1,3740,0.101069518716578
GSE149614,Adjacent,YES,other/uncertain,94,19,1,1,3740,0.0251336898395722
GSE149614,Adjacent,YES,hepatocyte/tumor epithelial,39,8,1,1,3740,0.010427807486631
GSE149614,Adjacent,YES,plasma,109,21,1,1,3740,0.029144385026738
GSE149614,Adjacent,YES,dendritic,4,0,1,1,3740,0.00106951871657754
GSE149614,Adjacent,YES,fibroblast/mesenchymal,12,0,1,1,3740,0.00320855614973262
GSE149614,Adjacent,YES,mast,1,0,1,1,3740,0.000267379679144385
GSE149614,Tumor,YES,monocyte/macrophage,210,20,1,1,510,0.411764705882353
GSE149614,Tumor,YES,B,17,6,1,1,510,0.0333333333333333
