dataset,sample_id,patient_id,tissue,abundance_eligible,task004_cluster_type,task004_cluster_id,n_cells,n_rescued,rescued_fraction,n_neutrophil,n_ambiguous_myeloid,top_project_broad_celltype,cluster_review_flag,review_note
GSE149614,GSM4505944,HCC01,Tumor,YES,sample_review_unit,sample_unit_GSE149614__GSM4505944,3368,878,0.260688836104513,11,30,B,none,No rescued-cell dominance flag.
GSE149614,GSM4505945,HCC02,Tumor,YES,sample_review_unit,sample_unit_GSE149614__GSM4505945,4101,955,0.232870031699586,4,39,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE149614,GSM4505946,HCC03,Adjacent,YES,sample_review_unit,sample_unit_GSE149614__GSM4505946,2601,271,0.104190695886198,9,11,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE149614,GSM4505947,HCC03,Tumor,YES,sample_review_unit,sample_unit_GSE149614__GSM4505947,4825,418,0.0866321243523316,0,1,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE149614,GSM4505948,HCC04,Adjacent,YES,sample_review_unit,sample_unit_GSE149614__GSM4505948,3396,1402,0.41283863368669,25,49,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE149614,GSM4505949,HCC04,Tumor,YES,sample_review_unit,sample_unit_GSE149614__GSM4505949,3501,520,0.148528991716652,0,0,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE149614,GSM4505950,HCC05,Adjacent,YES,sample_review_unit,sample_unit_GSE149614__GSM4505950,4656,1457,0.312929553264605,138,98,T/NK,none,No rescued-cell dominance flag.
GSE149614,GSM4505951,HCC05,Tumor,YES,sample_review_unit,sample_unit_GSE149614__GSM4505951,3353,551,0.164330450342976,3,15,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE149614,GSM4505952,HCC06,Adjacent,YES,sample_review_unit,sample_unit_GSE149614__GSM4505952,4465,1108,0.248152295632699,168,111,T/NK,none,No rescued-cell dominance flag.
GSE149614,GSM4505953,HCC06,Tumor,YES,sample_review_unit,sample_unit_GSE149614__GSM4505953,4308,1313,0.304781801299907,31,66,T/NK,none,No rescued-cell dominance flag.
GSE149614,GSM4505954,HCC07,Adjacent,YES,sample_review_unit,sample_unit_GSE149614__GSM4505954,3740,773,0.20668449197861,436,160,T/NK,none,No rescued-cell dominance flag.
GSE149614,GSM4505956,HCC07,Tumor,YES,sample_review_unit,sample_unit_GSE149614__GSM4505956,510,97,0.190196078431373,2,2,monocyte/macrophage,none,No rescued-cell dominance flag.
GSE149614,GSM4505957,HCC08,Adjacent,YES,sample_review_unit,sample_unit_GSE149614__GSM4505957,4795,545,0.113660062565172,457,150,T/NK,none,No rescued-cell dominance flag.
GSE149614,GSM4505959,HCC08,Tumor,YES,sample_review_unit,sample_unit_GSE149614__GSM4505959,4833,949,0.196358369542727,22,42,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
