dataset,project_broad_celltype,program,mean_score,detection_fraction
GSE149614,fibroblast/mesenchymal,hepatocyte/tumor epithelial,1.83914171332822,1
GSE149614,T/NK,hepatocyte/tumor epithelial,1.71858990200106,1
GSE149614,hepatocyte/tumor epithelial,hepatocyte/tumor epithelial,2.90360344357384,1
GSE149614,B,hepatocyte/tumor epithelial,1.83252722534786,1
GSE149614,endothelial,hepatocyte/tumor epithelial,1.77390980739287,1
GSE149614,monocyte/macrophage,hepatocyte/tumor epithelial,1.89072443971875,1
GSE149614,fibroblast/mesenchymal,T/NK,0.342551552404287,0.769230769230769
GSE149614,T/NK,T/NK,2.77121327222825,1
GSE149614,hepatocyte/tumor epithelial,T/NK,0.969676386122375,0.904761904761905
GSE149614,B,T/NK,0.425512424310013,0.708661417322835
GSE149614,endothelial,T/NK,0.366865687396016,0.846153846153846
GSE149614,monocyte/macrophage,T/NK,0.610822356208511,0.782258064516129
GSE149614,fibroblast/mesenchymal,B,1.16539082088471,1
GSE149614,T/NK,B,1.63941552199504,0.992248062015504
GSE149614,hepatocyte/tumor epithelial,B,1.42141302213583,1
GSE149614,B,B,3.67375989557581,1
GSE149614,endothelial,B,1.73202844442901,1
GSE149614,monocyte/macrophage,B,2.99534875032042,1
GSE149614,fibroblast/mesenchymal,plasma,0.442904663755786,0.846153846153846
GSE149614,T/NK,plasma,0.488602008875771,0.689922480620155
GSE149614,hepatocyte/tumor epithelial,plasma,0.566606134438767,0.833333333333333
GSE149614,B,plasma,0.590126097788383,0.850393700787402
GSE149614,endothelial,plasma,0.499222391410645,0.815384615384615
GSE149614,monocyte/macrophage,plasma,0.582971540211398,0.830645161290323
GSE149614,fibroblast/mesenchymal,monocyte/macrophage,1.49297548843576,1
GSE149614,T/NK,monocyte/macrophage,1.60879397505754,1
GSE149614,hepatocyte/tumor epithelial,monocyte/macrophage,1.98953924933323,1
GSE149614,B,monocyte/macrophage,3.27404577150496,1
GSE149614,endothelial,monocyte/macrophage,1.64585341220821,1
GSE149614,monocyte/macrophage,monocyte/macrophage,3.38828827006947,1
GSE149614,fibroblast/mesenchymal,neutrophil,0.168630692075231,0.692307692307692
GSE149614,T/NK,neutrophil,0.965519443171064,0.953488372093023
GSE149614,hepatocyte/tumor epithelial,neutrophil,0.450546980087024,0.80952380952381
GSE149614,B,neutrophil,0.87050996444893,1
GSE149614,endothelial,neutrophil,0.32443113758614,0.876923076923077
GSE149614,monocyte/macrophage,neutrophil,0.971765071718364,0.975806451612903
GSE149614,fibroblast/mesenchymal,dendritic,1.37877496672647,1
GSE149614,T/NK,dendritic,0.877321580233062,0.852713178294574
GSE149614,hepatocyte/tumor epithelial,dendritic,1.17369267106127,1
GSE149614,B,dendritic,2.26152062301242,0.992125984251969
GSE149614,endothelial,dendritic,1.24366911737473,1
GSE149614,monocyte/macrophage,dendritic,1.76415031625362,0.967741935483871
GSE149614,fibroblast/mesenchymal,mast,0,0
GSE149614,T/NK,mast,0.0125666284949904,0.0232558139534884
GSE149614,hepatocyte/tumor epithelial,mast,0.0494765512107966,0.119047619047619
GSE149614,B,mast,0.00985324857132358,0.031496062992126
GSE149614,endothelial,mast,0.0542923589937891,0.138461538461538
GSE149614,monocyte/macrophage,mast,0.0187436012727284,0.0403225806451613
GSE149614,fibroblast/mesenchymal,endothelial,0.478834166170214,0.846153846153846
GSE149614,T/NK,endothelial,0.329691944072959,0.534883720930233
GSE149614,hepatocyte/tumor epithelial,endothelial,0.69330771374526,0.80952380952381
GSE149614,B,endothelial,0.493340519034802,0.78740157480315
GSE149614,endothelial,endothelial,2.66246992614008,1
GSE149614,monocyte/macrophage,endothelial,0.601083046864098,0.758064516129032
GSE149614,fibroblast/mesenchymal,fibroblast/mesenchymal,2.6594742135081,1
GSE149614,T/NK,fibroblast/mesenchymal,0.166822120510467,0.333333333333333
GSE149614,hepatocyte/tumor epithelial,fibroblast/mesenchymal,0.74750479096731,0.619047619047619
GSE149614,B,fibroblast/mesenchymal,0.174894089328973,0.448818897637795
GSE149614,endothelial,fibroblast/mesenchymal,0.503196871381422,0.830769230769231
GSE149614,monocyte/macrophage,fibroblast/mesenchymal,0.211420461181759,0.42741935483871
GSE149614,hepatocyte/tumor epithelial,hepatocyte/tumor epithelial,5.37723059551426,1
GSE149614,monocyte/macrophage,hepatocyte/tumor epithelial,2.72974649049387,1
GSE149614,plasma,hepatocyte/tumor epithelial,2.54537245802253,1
GSE149614,B,hepatocyte/tumor epithelial,2.49899156598499,1
GSE149614,T/NK,hepatocyte/tumor epithelial,2.692476450471,1
GSE149614,other/uncertain,hepatocyte/tumor epithelial,2.53679563359461,1
GSE149614,hepatocyte/tumor epithelial,T/NK,0.40102831493566,0.790035587188612
GSE149614,monocyte/macrophage,T/NK,0.640397676441587,0.833333333333333
GSE149614,plasma,T/NK,0.411093163201332,0.841059602649007
GSE149614,B,T/NK,0.509695498683138,0.852941176470588
GSE149614,T/NK,T/NK,2.9188435658376,1
GSE149614,other/uncertain,T/NK,2.37043541889997,1
GSE149614,hepatocyte/tumor epithelial,B,1.06027185314743,1
GSE149614,monocyte/macrophage,B,3.51764180335411,1
GSE149614,plasma,B,1.88518360685525,1
GSE149614,B,B,4.26849135553943,1
GSE149614,T/NK,B,2.19643231214056,1
GSE149614,other/uncertain,B,2.05034016512856,1
GSE149614,hepatocyte/tumor epithelial,plasma,2.50278683345742,1
GSE149614,monocyte/macrophage,plasma,2.85938617977848,1
GSE149614,plasma,plasma,6.87011636883752,1
GSE149614,B,plasma,2.38459151284642,1
GSE149614,T/NK,plasma,2.56695184948456,1
GSE149614,other/uncertain,plasma,2.88823467609708,1
GSE149614,hepatocyte/tumor epithelial,monocyte/macrophage,2.5362609611126,1
GSE149614,monocyte/macrophage,monocyte/macrophage,3.81408638595196,1
GSE149614,plasma,monocyte/macrophage,1.30567172861746,1
GSE149614,B,monocyte/macrophage,3.60924710690539,1
GSE149614,T/NK,monocyte/macrophage,1.42844574059316,1
GSE149614,other/uncertain,monocyte/macrophage,1.4798630190931,1
GSE149614,hepatocyte/tumor epithelial,neutrophil,0.324954357195736,0.96085409252669
GSE149614,monocyte/macrophage,neutrophil,0.918019059204927,1
GSE149614,plasma,neutrophil,0.535463798933972,0.993377483443709
GSE149614,B,neutrophil,0.966987541838077,1
GSE149614,T/NK,neutrophil,1.22668079208862,1
GSE149614,other/uncertain,neutrophil,1.56696304432451,1
GSE149614,hepatocyte/tumor epithelial,dendritic,1.16701795391458,1
