dataset,sample_id,patient_id,tissue,abundance_eligible,n_cells,n_neutrophil,n_neutrophil_high,n_neutrophil_medium,n_ambiguous_myeloid,n_rescued,n_rescued_neutrophil,n_patients,summary_level,neutrophil_fraction,rescued_fraction
GSE149614,GSM4505944,HCC01,Tumor,YES,3368,11,0,11,30,878,9,1,sample,0.00326603325415677,0.260688836104513
GSE149614,GSM4505944,HCC01,Tumor,YES,3368,11,0,11,30,878,9,1,patient_tissue,0.00326603325415677,0.260688836104513
GSE149614,GSM4505945,HCC02,Tumor,YES,4101,4,0,4,39,955,1,1,sample,0.000975371860521824,0.232870031699586
GSE149614,GSM4505945,HCC02,Tumor,YES,4101,4,0,4,39,955,1,1,patient_tissue,0.000975371860521824,0.232870031699586
GSE149614,GSM4505946,HCC03,Adjacent,YES,2601,9,5,4,11,271,4,1,sample,0.00346020761245675,0.104190695886198
GSE149614,GSM4505946,HCC03,Adjacent,YES,2601,9,5,4,11,271,4,1,patient_tissue,0.00346020761245675,0.104190695886198
GSE149614,GSM4505947,HCC03,Tumor,YES,4825,0,0,0,1,418,0,1,sample,0,0.0866321243523316
GSE149614,GSM4505947,HCC03,Tumor,YES,4825,0,0,0,1,418,0,1,patient_tissue,0,0.0866321243523316
GSE149614,GSM4505948,HCC04,Adjacent,YES,3396,25,3,22,49,1402,17,1,sample,0.00736160188457008,0.41283863368669
GSE149614,GSM4505948,HCC04,Adjacent,YES,3396,25,3,22,49,1402,17,1,patient_tissue,0.00736160188457008,0.41283863368669
GSE149614,GSM4505949,HCC04,Tumor,YES,3501,0,0,0,0,520,0,1,sample,0,0.148528991716652
GSE149614,GSM4505949,HCC04,Tumor,YES,3501,0,0,0,0,520,0,1,patient_tissue,0,0.148528991716652
GSE149614,GSM4505950,HCC05,Adjacent,YES,4656,138,8,130,98,1457,53,1,sample,0.029639175257732,0.312929553264605
GSE149614,GSM4505950,HCC05,Adjacent,YES,4656,138,8,130,98,1457,53,1,patient_tissue,0.029639175257732,0.312929553264605
GSE149614,GSM4505951,HCC05,Tumor,YES,3353,3,0,3,15,551,1,1,sample,0.000894721145243066,0.164330450342976
GSE149614,GSM4505951,HCC05,Tumor,YES,3353,3,0,3,15,551,1,1,patient_tissue,0.000894721145243066,0.164330450342976
GSE149614,GSM4505952,HCC06,Adjacent,YES,4465,168,11,157,111,1108,49,1,sample,0.0376259798432251,0.248152295632699
GSE149614,GSM4505952,HCC06,Adjacent,YES,4465,168,11,157,111,1108,49,1,patient_tissue,0.0376259798432251,0.248152295632699
GSE149614,GSM4505953,HCC06,Tumor,YES,4308,31,2,29,66,1313,20,1,sample,0.00719591457753018,0.304781801299907
GSE149614,GSM4505953,HCC06,Tumor,YES,4308,31,2,29,66,1313,20,1,patient_tissue,0.00719591457753018,0.304781801299907
GSE149614,GSM4505954,HCC07,Adjacent,YES,3740,436,85,351,160,773,104,1,sample,0.116577540106952,0.20668449197861
GSE149614,GSM4505954,HCC07,Adjacent,YES,3740,436,85,351,160,773,104,1,patient_tissue,0.116577540106952,0.20668449197861
GSE149614,GSM4505956,HCC07,Tumor,YES,510,2,0,2,2,97,2,1,sample,0.00392156862745098,0.190196078431373
